N,Triton (GB/s),Torch (GB/s)
1024.000000,2117.281516,1532.685846
2048.000000,2765.734701,2155.803169
3072.000000,3064.382576,2498.609610
4096.000000,3340.844647,2628.908614
5120.000000,3297.957531,2686.078287
6144.000000,3534.165140,2688.322121
7168.000000,3707.525158,2635.971933
8192.000000,3835.361246,2563.387220
9216.000000,2641.100022,2578.653143
10240.000000,2896.247583,2551.035396
11264.000000,3095.838671,2540.696626
12288.000000,3297.678388,2552.682092
13312.000000,3532.996390,2567.508818
14336.000000,3688.559078,2576.174554
15360.000000,3781.881760,2575.294580
16384.000000,3906.181440,2599.258473
17408.000000,1801.608486,2583.501388
18432.000000,1858.988904,2615.183929
19456.000000,1874.353519,2619.304050
20480.000000,1920.953160,2633.621390
21504.000000,1974.217291,2645.481465
22528.000000,2013.802821,2650.566580
23552.000000,2061.676403,2646.129353
24576.000000,2109.616104,2663.083790
25600.000000,2157.605481,2678.430867
26624.000000,2199.945605,2677.923453
27648.000000,2241.130789,2691.571558
28672.000000,2283.664579,2669.777754
29696.000000,2311.827289,2688.625606
30720.000000,2351.637438,2693.838666
31744.000000,2376.536544,2679.649612
32768.000000,2428.571457,2696.543344
